2023-08-01T00:00,22.2,81,0.01,8.0,0.0
2023-08-01T01:00,22.3,76,0.02,9.4,0.0
2023-08-01T02:00,22.2,73,0.03,9.8,0.0
2023-08-01T03:00,22.4,71,0.03,9.5,0.0
2023-08-01T04:00,23.2,66,0.07,10.0,55.0
2023-08-01T05:00,25.2,64,0.17,11.1,197.0
2023-08-01T06:00,26.7,61,0.29,11.2,379.0
2023-08-01T07:00,28.3,63,0.41,11.7,552.0
2023-08-01T08:00,29.6,58,0.54,12.6,720.0
2023-08-01T09:00,30.6,55,0.64,14.7,848.0
2023-08-01T10:00,31.3,52,0.71,15.5,936.0
2023-08-01T11:00,31.5,52,0.71,16.7,921.0
2023-08-01T12:00,31.2,53,0.66,17.3,850.0
2023-08-01T13:00,30.7,54,0.56,16.3,719.0
2023-08-01T14:00,29.9,57,0.43,14.9,543.0
2023-08-01T15:00,29.0,61,0.28,12.5,340.0
2023-08-01T16:00,28.0,65,0.13,9.0,143.0
2023-08-01T17:00,27.0,70,0.04,5.9,14.0
2023-08-01T18:00,26.5,73,0.00,3.2,0.0
2023-08-01T19:00,25.9,78,0.00,3.1,0.0
2023-08-01T20:00,25.3,81,0.00,4.2,0.0
2023-08-01T21:00,24.8,84,0.00,5.0,0.0
2023-08-01T22:00,24.4,85,0.01,7.3,0.0
2023-08-01T23:00,24.3,83,0.01,8.0,0.0
2023-08-02T00:00,24.4,80,0.01,7.8,0.0
2023-08-02T01:00,24.1,80,0.01,7.2,0.0
2023-08-02T02:00,23.9,80,0.01,6.7,0.0
2023-08-02T03:00,24.0,79,0.01,6.9,0.0
2023-08-02T04:00,24.6,76,0.06,8.7,48.0
2023-08-02T05:00,25.9,68,0.16,10.6,187.0
2023-08-02T06:00,27.5,59,0.30,12.2,369.0
2023-08-02T07:00,28.7,57,0.43,13.5,556.0
2023-08-02T08:00,30.1,52,0.58,13.7,765.0
2023-08-02T09:00,31.0,50,0.67,14.7,869.0
2023-08-02T10:00,31.6,49,0.73,14.5,946.0
2023-08-02T11:00,31.6,51,0.71,14.8,933.0
2023-08-02T12:00,31.2,54,0.65,15.0,857.0
2023-08-02T13:00,30.6,57,0.56,14.8,726.0
2023-08-02T14:00,30.0,58,0.43,14.2,549.0
2023-08-02T15:00,29.2,59,0.29,12.6,345.0
2023-08-02T16:00,28.2,62,0.14,10.0,144.0
2023-08-02T17:00,27.4,66,0.06,7.4,14.0
2023-08-02T18:00,26.8,69,0.01,4.2,0.0
2023-08-02T19:00,25.9,81,0.00,2.6,0.0
2023-08-02T20:00,25.6,81,0.00,0.4,0.0
2023-08-02T21:00,24.3,88,0.00,2.2,0.0
2023-08-02T22:00,23.5,92,0.00,1.9,0.0
2023-08-02T23:00,23.3,91,0.00,2.8,0.0
2023-08-03T00:00,23.1,87,0.00,3.6,0.0
2023-08-03T01:00,23.0,83,0.00,3.9,0.0
2023-08-03T02:00,22.9,81,0.00,4.1,0.0
2023-08-03T03:00,22.8,81,0.00,5.0,0.0
2023-08-03T04:00,23.6,77,0.05,7.2,46.0
2023-08-03T05:00,25.8,69,0.16,9.0,198.0
2023-08-03T06:00,27.5,60,0.30,9.7,394.0
2023-08-03T07:00,28.9,61,0.44,10.2,595.0
2023-08-03T08:00,30.3,54,0.57,11.3,756.0
2023-08-03T09:00,31.2,51,0.67,12.8,878.0
2023-08-03T10:00,31.7,51,0.72,13.7,947.0
2023-08-03T11:00,31.7,52,0.71,14.6,934.0
2023-08-03T12:00,31.4,54,0.66,15.8,857.0
2023-08-03T13:00,30.7,57,0.56,17.1,723.0
2023-08-03T14:00,29.9,59,0.43,16.5,544.0
2023-08-03T15:00,29.1,62,0.28,13.8,340.0
2023-08-03T16:00,28.1,66,0.14,11.2,141.0
2023-08-03T17:00,27.2,70,0.06,8.4,13.0
2023-08-03T18:00,26.7,73,0.02,5.8,0.0
2023-08-03T19:00,26.1,75,0.00,3.2,0.0
2023-08-03T20:00,25.8,76,0.00,1.1,0.0
2023-08-03T21:00,25.2,80,0.00,1.3,0.0
2023-08-03T22:00,24.5,84,0.00,2.4,0.0
2023-08-03T23:00,24.1,86,0.00,2.1,0.0
2023-08-04T00:00,24.1,86,0.00,2.8,0.0
2023-08-04T01:00,24.5,84,0.00,2.6,0.0
2023-08-04T02:00,24.5,84,0.00,3.7,0.0
2023-08-04T03:00,24.4,84,0.00,2.9,0.0
2023-08-04T04:00,24.5,84,0.03,1.9,43.0
2023-08-04T05:00,25.9,76,0.13,2.4,195.0
